symbol,effective_from,effective_to,index_name,source,notes
GMRAIRPORT,2018-01-01,,NIFTY200,niftyindices_pr_scraped,
GMRINFRA,2018-01-01,2021-10-28,NIFTY200,niftyindices_pr_scraped,
GODFRYPHLP,2025-09-30,,NIFTY200,niftyindices_pr_scraped,
GODREJCP,2018-01-01,,NIFTY200,niftyindices_pr_scraped,
GODREJIND,2018-01-01,2022-03-30,NIFTY200,niftyindices_pr_scraped,
GODREJPROP,2019-09-27,,NIFTY200,niftyindices_pr_scraped,
GPPL,2018-01-01,2018-04-01,NIFTY200,niftyindices_pr_scraped,
GRAPHITE,2018-09-28,2020-06-25,NIFTY200,niftyindices_pr_scraped,
GRASIM,2018-04-02,,NIFTY200,niftyindices_pr_scraped,
GROWW,2026-03-30,,NIFTY200,niftyindices_pr_scraped,
GRUH,2018-01-01,2019-09-26,NIFTY200,niftyindices_pr_scraped,
GSKCONS,2018-01-01,2018-04-01,NIFTY200,niftyindices_pr_scraped,
GSKCONS,2019-03-29,2019-09-26,NIFTY200,niftyindices_pr_scraped,
GSPL,2018-01-01,2023-03-30,NIFTY200,niftyindices_pr_scraped,
GUJGASLTD,2020-06-26,2024-09-29,NIFTY200,niftyindices_pr_scraped,
GVT&D,2026-03-30,,NIFTY200,niftyindices_pr_scraped,
HAL,2021-03-31,,NIFTY200,niftyindices_pr_scraped,
HAVELLS,2018-01-01,,NIFTY200,niftyindices_pr_scraped,
HCLTECH,2018-01-01,,NIFTY200,niftyindices_pr_scraped,
HDFC,2018-01-01,2023-07-12,NIFTY200,niftyindices_pr_scraped,
HDFCAMC,2019-03-29,,NIFTY200,niftyindices_pr_scraped,
HDFCBANK,2018-01-01,,NIFTY200,niftyindices_pr_scraped,
HDFCLIFE,2018-09-28,,NIFTY200,niftyindices_pr_scraped,
HEG,2018-09-28,2020-06-25,NIFTY200,niftyindices_pr_scraped,
HEROMOTOCO,2018-01-01,,NIFTY200,niftyindices_pr_scraped,
HEXAWARE,2018-01-01,2020-09-24,NIFTY200,niftyindices_pr_scraped,
HINDALCO,2018-01-01,,NIFTY200,niftyindices_pr_scraped,
HINDCOPPER,2018-01-01,2022-03-30,NIFTY200,niftyindices_pr_scraped,
HINDPETRO,2018-01-01,,NIFTY200,niftyindices_pr_scraped,
HINDUNILVR,2018-01-01,,NIFTY200,niftyindices_pr_scraped,
HINDZINC,2018-01-01,2023-09-28,NIFTY200,niftyindices_pr_scraped,
HINDZINC,2024-09-30,,NIFTY200,niftyindices_pr_scraped,
HONAUT,2022-05-04,2023-09-28,NIFTY200,niftyindices_pr_scraped,
HUDCO,2018-01-01,2021-03-30,NIFTY200,niftyindices_pr_scraped,
HUDCO,2024-09-30,,NIFTY200,niftyindices_pr_scraped,
HYUNDAI,2025-03-28,,NIFTY200,niftyindices_pr_scraped,
IBREALEST,2018-04-02,2018-09-27,NIFTY200,niftyindices_pr_scraped,
ICICIAMC,2026-03-30,,NIFTY200,niftyindices_pr_scraped,
ICICIBANK,2018-01-01,,NIFTY200,niftyindices_pr_scraped,
ICICIGI,2018-04-02,,NIFTY200,niftyindices_pr_scraped,
ICICIPRULI,2018-01-01,2025-09-29,NIFTY200,niftyindices_pr_scraped,
IDBI,2018-01-01,2020-09-24,NIFTY200,niftyindices_pr_scraped,
IDBI,2022-03-31,2022-09-29,NIFTY200,niftyindices_pr_scraped,
IDBI,2024-03-28,2025-03-27,NIFTY200,niftyindices_pr_scraped,
IDEA,2018-01-01,,NIFTY200,niftyindices_pr_scraped,
IDFC,2018-01-01,2018-09-27,NIFTY200,niftyindices_pr_scraped,
IDFCFIRSTB,2018-01-01,,NIFTY200,niftyindices_pr_scraped,
IEX,2022-03-31,2023-03-30,NIFTY200,niftyindices_pr_scraped,
IGL,2018-01-01,2026-03-29,NIFTY200,niftyindices_pr_scraped,
INDHOTEL,2018-01-01,,NIFTY200,niftyindices_pr_scraped,
INDIAMART,2021-03-31,2023-03-30,NIFTY200,niftyindices_pr_scraped,
INDIANB,2018-01-01,,NIFTY200,niftyindices_pr_scraped,
INDIGO,2018-01-01,,NIFTY200,niftyindices_pr_scraped,
INDUSINDBK,2018-01-01,,NIFTY200,niftyindices_pr_scraped,
INDUSTOWER,2018-01-01,,NIFTY200,niftyindices_pr_scraped,
INFY,2018-01-01,,NIFTY200,niftyindices_pr_scraped,
IOB,2024-09-30,2025-03-27,NIFTY200,niftyindices_pr_scraped,
IOC,2018-01-01,,NIFTY200,niftyindices_pr_scraped,
IPCALAB,2018-01-01,2018-04-01,NIFTY200,niftyindices_pr_scraped,
IPCALAB,2019-09-27,2024-09-29,NIFTY200,niftyindices_pr_scraped,
IRB,2018-01-01,2018-09-27,NIFTY200,niftyindices_pr_scraped,
IRB,2024-09-30,2026-03-29,NIFTY200,niftyindices_pr_scraped,
IRCTC,2020-03-27,,NIFTY200,niftyindices_pr_scraped,
IREDA,2024-09-30,,NIFTY200,niftyindices_pr_scraped,
IRFC,2018-01-01,2022-03-30,NIFTY200,niftyindices_pr_scraped,
IRFC,2023-03-31,,NIFTY200,niftyindices_pr_scraped,
ISEC,2020-09-25,2023-03-30,NIFTY200,niftyindices_pr_scraped,
ITC,2018-01-01,,NIFTY200,niftyindices_pr_scraped,
ITCHOTELS,2025-09-30,2026-03-29,NIFTY200,niftyindices_pr_scraped,
JINDALSTEL,2018-01-01,,NIFTY200,niftyindices_pr_scraped,
JIOFIN,2024-03-28,,NIFTY200,niftyindices_pr_scraped,
JSWENERGY,2018-01-01,,NIFTY200,niftyindices_pr_scraped,
JSWINFRA,2024-03-28,2025-03-27,NIFTY200,niftyindices_pr_scraped,
JSWSTEEL,2018-01-01,,NIFTY200,niftyindices_pr_scraped,
JUBILANT,2018-01-01,2020-09-24,NIFTY200,niftyindices_pr_scraped,
JUBLFOOD,2018-01-01,,NIFTY200,niftyindices_pr_scraped,
KALYANKJIL,2024-03-28,,NIFTY200,niftyindices_pr_scraped,
KARURVYSYA,2018-01-01,2018-09-27,NIFTY200,niftyindices_pr_scraped,
KEI,2025-09-30,,NIFTY200,niftyindices_pr_scraped,
KOTAKBANK,2018-01-01,,NIFTY200,niftyindices_pr_scraped,
KPITTECH,2023-09-29,,NIFTY200,niftyindices_pr_scraped,
LALPATHLAB,2018-01-01,2018-04-01,NIFTY200,niftyindices_pr_scraped,
LALPATHLAB,2020-06-26,2024-09-29,NIFTY200,niftyindices_pr_scraped,
